created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2024-04-12T14:04:05+00:00,320,27.5,71.8,,,,
2024-04-12T14:04:31+00:00,321,27.5,71.6,,,,
2024-04-12T14:04:51+00:00,322,27.4,71.7,,,,
2024-04-12T14:05:33+00:00,323,27.4,72.0,,,,
2024-04-12T14:05:50+00:00,324,27.5,71.5,,,,
2024-04-12T14:06:14+00:00,325,27.5,71.9,,,,
2024-04-12T14:06:32+00:00,326,27.5,71.7,,,,
2024-04-12T14:07:00+00:00,327,27.6,71.6,,,,
2024-04-12T14:07:46+00:00,328,27.5,71.5,,,,
2024-04-12T14:08:05+00:00,329,27.5,71.7,,,,
2024-04-12T14:08:30+00:00,330,27.5,71.5,,,,
2024-04-12T14:08:46+00:00,331,27.5,71.5,,,,
2024-04-12T14:09:15+00:00,332,27.5,71.4,,,,
2024-04-12T14:09:35+00:00,333,27.5,71.3,,,,
2024-04-12T14:09:54+00:00,334,27.5,71.3,,,,
2024-04-12T14:10:09+00:00,335,27.5,71.4,,,,
2024-04-12T14:10:32+00:00,336,27.5,71.6,,,,
2024-04-12T14:10:52+00:00,337,27.4,71.5,,,,
2024-04-12T14:11:16+00:00,338,27.5,71.9,,,,
2024-04-12T14:12:09+00:00,339,27.4,72.4,,,,
2024-04-12T14:12:30+00:00,340,27.4,72.6,,,,
2024-04-12T14:13:00+00:00,341,27.4,72.7,,,,
2024-04-12T14:13:17+00:00,342,27.4,72.5,,,,
2024-04-12T14:13:33+00:00,343,27.4,72.5,,,,
2024-04-12T14:14:03+00:00,344,27.4,72.6,,,,
2024-04-12T14:14:23+00:00,345,27.5,72.5,,,,
2024-04-12T14:14:42+00:00,346,27.4,72.4,,,,
2024-04-12T14:15:01+00:00,347,27.6,72.2,,,,
2024-04-12T14:15:19+00:00,348,27.4,72.6,,,,
2024-04-12T14:15:46+00:00,349,27.5,72.4,,,,
2024-04-12T14:16:19+00:00,350,27.6,72.6,,,,
2024-04-12T14:16:44+00:00,351,27.5,72.6,,,,
2024-04-12T14:17:02+00:00,352,27.4,72.6,,,,
2024-04-12T14:17:19+00:00,353,27.4,72.6,,,,
2024-04-12T14:17:39+00:00,354,27.4,73.0,,,,
2024-04-12T14:18:03+00:00,355,27.4,72.9,,,,
2024-04-12T14:18:24+00:00,356,27.4,72.9,,,,
2024-04-12T14:18:41+00:00,357,27.4,72.7,,,,
2024-04-12T14:18:56+00:00,358,27.4,73.0,,,,
2024-04-12T14:19:22+00:00,359,27.4,73.1,,,,
2024-04-12T14:19:52+00:00,360,27.3,73.1,,,,
2024-04-12T14:20:21+00:00,361,27.3,73.3,,,,
2024-04-12T14:20:39+00:00,362,27.3,73.1,,,,
2024-04-12T14:21:04+00:00,363,27.4,73.3,,,,
2024-04-12T14:21:21+00:00,364,27.3,73.4,,,,
2024-04-12T14:21:57+00:00,365,27.3,73.3,,,,
2024-04-12T14:22:13+00:00,366,27.3,73.3,,,,
2024-04-12T14:22:37+00:00,367,27.3,73.5,,,,
2024-04-12T14:22:56+00:00,368,27.3,73.4,,,,
2024-04-12T14:23:27+00:00,369,27.3,73.5,,,,
2024-04-12T14:24:12+00:00,370,27.3,73.6,,,,
2024-04-12T14:24:33+00:00,371,27.3,73.6,,,,
2024-04-12T14:24:48+00:00,372,27.3,73.7,,,,
2024-04-12T14:25:17+00:00,373,27.2,73.6,,,,
2024-04-12T14:25:42+00:00,374,27.3,73.8,,,,
2024-04-12T14:26:07+00:00,375,27.3,73.5,,,,
2024-04-12T14:26:29+00:00,376,27.2,73.8,,,,
2024-04-12T14:27:05+00:00,377,27.3,73.7,,,,
2024-04-12T14:27:22+00:00,378,27.2,73.9,,,,
2024-04-12T14:27:50+00:00,379,27.3,73.8,,,,
2024-04-12T14:28:15+00:00,380,27.2,74.0,,,,
2024-04-12T14:29:03+00:00,381,27.1,73.9,,,,
2024-04-12T14:29:18+00:00,382,27.1,73.8,,,,
2024-04-12T14:29:38+00:00,383,27.2,73.9,,,,
2024-04-12T14:29:54+00:00,384,27.3,73.8,,,,
